ctrl,m1,m2,sim_time,log_time
0,,,0.03,2021-04-01 16:52:42
0,,,0.06,2021-04-01 16:52:48
0,,,0.08,2021-04-01 16:52:54
0,,,0.11,2021-04-01 16:53:01
0,0.01,,0.14,2021-04-01 16:53:06
0,0.028,,0.17,2021-04-01 16:53:12
0,0.044,,0.19,2021-04-01 16:53:19
0,0.056,,0.22,2021-04-01 16:53:25
0,0.067,,0.25,2021-04-01 16:53:30
0,0.075,,0.28,2021-04-01 16:53:38
0,0.196,,0.55,2021-04-01 16:54:41
0,0.328,,0.83,2021-04-01 16:55:43
0,0.466,,1.1,2021-04-01 16:56:48
0,0.623,,1.38,2021-04-01 16:57:51
0,0.762,,1.66,2021-04-01 16:58:52
0,0.895,,1.93,2021-04-01 16:59:57
0,1.03,,2.21,2021-04-01 17:01:04
0,1.157,,2.48,2021-04-01 17:02:07
0,1.29,,2.76,2021-04-01 17:03:11
0,2.636,,5.52,2021-04-01 17:13:56
0,3.949,,8.26,2021-04-01 17:24:53
0,5.115,,10.66,2021-04-01 17:35:46
0,6.18,,12.92,2021-04-01 17:46:43
0,7.403,,15.34,2021-04-01 17:57:44
0,8.618,,17.7,2021-04-01 18:08:42
0,9.686,,20.01,2021-04-01 18:20:02
0,10.775,,22.24,2021-04-01 18:31:13
0,11.94,,24.53,2021-04-01 18:42:00
0,12.91,,26.64,2021-04-01 18:52:59
0,13.966,,28.83,2021-04-01 19:04:03
0,14.934,,30.8,2021-04-01 19:15:07
0,15.855,,32.84,2021-04-01 19:26:13
0,16.944,,34.93,2021-04-01 19:37:21
0,17.877,,36.91,2021-04-01 19:48:29
0,19.015,,38.93,2021-04-01 19:59:42
0,19.684,,40.8,2021-04-01 20:10:46
0,21.705,,42.78,2021-04-01 20:21:42
0,23.861,,44.69,2021-04-01 20:32:48
0,25.884,,46.5,2021-04-01 20:43:56
0,28.103,,48.34,2021-04-01 20:54:44
0,29.828,,50.14,2021-04-01 21:05:55
0,32.114,,51.91,2021-04-01 21:16:52
0,34.333,,53.62,2021-04-01 21:27:41
0,36.631,,55.39,2021-04-01 21:38:37
0,37.956,,56.93,2021-04-01 21:49:38
0,40.208,,58.51,2021-04-01 22:00:58
0,42.411,,60.14,2021-04-01 22:12:15
0,45.557,,61.76,2021-04-01 22:23:04
0,47.347,,63.34,2021-04-01 22:34:09
0,49.78,,64.95,2021-04-01 22:45:17
0,51.982,,66.49,2021-04-01 22:56:19
0,54.475,,68.05,2021-04-01 23:07:16
0,56.797,,69.54,2021-04-01 23:18:08
0,59.369,,70.99,2021-04-01 23:29:27
0,61.881,,72.41,2021-04-01 23:40:32
0,63.453,,73.84,2021-04-01 23:51:22
0,66.042,,75.18,2021-04-02 00:02:50
0,69.11,,76.63,2021-04-02 00:14:04
0,72.096,,78.05,2021-04-02 00:24:50
0,73.482,,79.33,2021-04-02 00:35:43
0,76.02,,80.58,2021-04-02 00:46:52
0,78.224,,81.96,2021-04-02 00:57:44
0,80.896,,83.29,2021-04-02 01:08:47
0,83.27,,84.61,2021-04-02 01:20:08
0,86.21,,85.93,2021-04-02 01:31:01
0,89.427,,87.21,2021-04-02 01:42:08
0,91.217,,88.58,2021-04-02 01:53:18
0,93.513,,89.88,2021-04-02 02:04:11
0,96.756,,91.11,2021-04-02 02:15:11
0,98.82,,92.39,2021-04-02 02:26:16
0,102.193,,93.65,2021-04-02 02:37:09
0,105.267,,94.91,2021-04-02 02:48:14
0,108.883,,96.12,2021-04-02 02:59:28
0,111.722,,97.31,2021-04-02 03:10:38
0,112.956,,98.53,2021-04-02 03:21:48
0,116.654,,99.71,2021-04-02 03:32:38
0,119.479,,100.96,2021-04-02 03:43:43
0,121.832,,102.17,2021-04-02 03:54:50
0,123.996,,103.4,2021-04-02 04:05:50
0,128.76,,104.59,2021-04-02 04:17:38
