ctrl,m2,m1,m3,sim_time,log_time
0,,,,0.03,2021-04-01 16:52:42
0,,,,0.06,2021-04-01 16:52:48
0,,,,0.08,2021-04-01 16:52:54
0,,,,0.11,2021-04-01 16:53:01
0,,,,0.14,2021-04-01 16:53:06
0,,,,0.17,2021-04-01 16:53:12
0,,,,0.19,2021-04-01 16:53:19
0,,,,0.22,2021-04-01 16:53:25
0,,,,0.25,2021-04-01 16:53:30
0,,,,0.28,2021-04-01 16:53:38
0,,,,0.55,2021-04-01 16:54:41
0,,,,0.83,2021-04-01 16:55:43
0,,,,1.1,2021-04-01 16:56:48
0,,,,1.38,2021-04-01 16:57:51
0,,,,1.66,2021-04-01 16:58:52
0,,,,1.93,2021-04-01 16:59:57
0,,,,2.21,2021-04-01 17:01:04
0,,,,2.48,2021-04-01 17:02:07
0,,,,2.76,2021-04-01 17:03:11
0,,,,5.52,2021-04-01 17:13:56
0,,,,8.26,2021-04-01 17:24:53
0,,,,10.66,2021-04-01 17:35:46
0,,,,12.92,2021-04-01 17:46:43
0,,,,15.34,2021-04-01 17:57:44
0,,,,17.7,2021-04-01 18:08:42
0,,,,20.01,2021-04-01 18:20:02
0,,,,22.24,2021-04-01 18:31:13
0,,,,24.53,2021-04-01 18:42:00
0,,,,26.64,2021-04-01 18:52:59
0,,,,28.83,2021-04-01 19:04:03
0,,,,30.8,2021-04-01 19:15:07
0,,,,32.84,2021-04-01 19:26:13
0,,,,34.93,2021-04-01 19:37:21
0,,,,36.91,2021-04-01 19:48:29
0,,,,38.93,2021-04-01 19:59:42
0,,,,40.8,2021-04-01 20:10:46
0,,,,42.78,2021-04-01 20:21:42
0,,,,44.69,2021-04-01 20:32:48
0,,,,46.5,2021-04-01 20:43:56
0,,,,48.34,2021-04-01 20:54:44
0,,,,50.14,2021-04-01 21:05:55
0,,,,51.91,2021-04-01 21:16:52
0,,,,53.62,2021-04-01 21:27:41
0,,,,55.39,2021-04-01 21:38:37
0,,,,56.93,2021-04-01 21:49:38
0,,,,58.51,2021-04-01 22:00:58
0,,,,60.14,2021-04-01 22:12:15
0,,,,61.76,2021-04-01 22:23:04
0,,,,63.34,2021-04-01 22:34:09
0,,,,64.95,2021-04-01 22:45:17
0,,,,66.49,2021-04-01 22:56:19
0,,,,68.05,2021-04-01 23:07:16
0,,,,69.54,2021-04-01 23:18:08
0,,,,70.99,2021-04-01 23:29:27
0,,,,72.41,2021-04-01 23:40:32
0,,,,73.84,2021-04-01 23:51:22
0,,,,75.18,2021-04-02 00:02:50
0,,,,76.63,2021-04-02 00:14:04
0,,,,78.05,2021-04-02 00:24:50
0,,,,79.33,2021-04-02 00:35:43
0,,,,80.58,2021-04-02 00:46:52
0,,,,81.96,2021-04-02 00:57:44
0,,,,83.29,2021-04-02 01:08:47
0,,,,84.61,2021-04-02 01:20:08
0,,,,85.93,2021-04-02 01:31:01
0,,,,87.21,2021-04-02 01:42:08
0,,,,88.58,2021-04-02 01:53:18
0,,,,89.88,2021-04-02 02:04:11
0,,,,91.11,2021-04-02 02:15:11
0,,,,92.39,2021-04-02 02:26:16
0,,,,93.65,2021-04-02 02:37:09
0,,,,94.91,2021-04-02 02:48:14
0,,,,96.12,2021-04-02 02:59:28
0,,,,97.31,2021-04-02 03:10:38
0,,,,98.53,2021-04-02 03:21:48
0,,,,99.71,2021-04-02 03:32:38
0,,,,100.96,2021-04-02 03:43:43
0,,,,102.17,2021-04-02 03:54:50
0,,,,103.4,2021-04-02 04:05:50
0,,,,104.59,2021-04-02 04:17:38
0,,,,105.83,2021-04-02 04:28:37
0,,,,107.0,2021-04-02 04:39:53
0,,,,108.09,2021-04-02 04:51:01
0,,,,109.22,2021-04-02 05:01:47
0,,,,110.34,2021-04-02 05:13:29
0,,,,111.42,2021-04-02 05:24:19
0,,,,112.55,2021-04-02 05:35:20
