m1,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m2,m20,m21,m22,m23,m24,m3,m4,m5,m6,m7,m8,m9,compl_time,log_time
27.9,28.5,13.6,14.5,16.8,13.4,6.4,10.5,12.3,11.9,12.5,27.1,11.5,11.6,16.8,11.6,7.17,28.2,21.3,28.5,27.9,27.5,28.1,28.7,0.04,2019-10-28 17:04:19
2.7,2.77,2.57,2.32,2.61,2.34,1.29,2.27,2.55,2.32,2.61,2.68,2.45,2.68,2.74,2.39,1.42,2.73,2.65,2.69,2.69,2.69,2.73,2.78,0.07,2019-10-28 17:04:22
2.67,2.88,2.55,2.27,2.56,2.29,1.27,2.22,2.56,2.31,2.65,2.67,2.47,2.82,2.83,2.38,1.36,2.79,2.61,2.68,2.67,2.66,2.85,2.92,0.11,2019-10-28 17:04:25
3.91,4.0,3.78,3.53,3.82,3.56,1.82,3.45,3.75,3.57,3.84,3.91,3.7,3.92,3.98,3.64,1.9,3.94,3.87,3.92,3.91,3.9,3.96,4.01,0.14,2019-10-28 17:04:29
2.61,2.71,2.5,2.24,2.52,2.26,1.25,2.19,2.46,2.27,2.54,2.62,2.4,2.62,2.68,2.34,1.34,2.65,2.56,2.62,2.61,2.6,2.67,2.72,0.18,2019-10-28 17:04:32
2.73,2.92,2.59,2.33,2.62,2.35,1.3,2.27,2.61,2.33,2.69,2.71,2.5,2.86,2.87,2.4,1.42,2.85,2.66,2.73,2.72,2.71,2.88,2.95,0.21,2019-10-28 17:04:35
3.85,3.95,3.75,3.5,3.76,3.49,1.8,3.41,3.71,3.52,3.79,3.87,3.66,3.87,3.93,3.6,1.84,3.9,3.79,3.87,3.86,3.84,3.92,3.96,0.25,2019-10-28 17:04:39
2.68,2.77,2.57,2.32,2.59,2.33,1.28,2.26,2.53,2.33,2.61,2.69,2.47,2.69,2.75,2.41,1.42,2.72,2.63,2.69,2.69,2.67,2.73,2.78,0.29,2019-10-28 17:04:42
2.64,2.86,2.52,2.25,2.54,2.27,1.25,2.2,2.53,2.29,2.63,2.65,2.45,2.8,2.82,2.36,1.35,2.79,2.59,2.66,2.65,2.63,2.83,2.9,0.32,2019-10-28 17:04:45
3.9,4.01,3.78,3.53,3.81,3.54,1.81,3.46,3.75,3.58,3.85,3.91,3.71,3.92,3.98,3.65,1.89,3.96,3.86,3.92,3.91,3.88,3.97,4.01,0.36,2019-10-28 17:04:49
3.01,3.15,2.91,2.66,2.91,2.66,1.43,2.6,2.9,2.67,2.96,3.03,2.82,2.53,3.1,2.74,1.52,3.1,2.95,3.03,3.03,2.99,3.1,3.17,0.71,2019-10-28 17:05:21
3.01,3.17,2.91,2.67,2.91,2.66,1.43,2.62,2.93,2.68,2.97,3.03,2.82,2.32,3.11,2.75,1.53,3.11,2.95,3.04,3.03,2.99,3.12,3.19,1.07,2019-10-28 17:05:54
3.13,3.27,3.03,2.79,3.03,2.78,1.48,2.73,3.03,2.79,3.08,3.15,2.94,2.12,3.22,2.87,1.57,3.23,3.07,3.15,3.15,3.11,3.22,3.3,1.43,2019-10-28 17:06:28
3.0,3.15,2.9,2.66,2.9,2.65,1.43,2.6,2.9,2.67,2.96,3.02,2.81,2.06,3.1,2.74,1.52,3.09,2.95,3.03,3.02,2.98,3.11,3.17,1.79,2019-10-28 17:07:00
