m1,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m2,m20,m21,m22,m23,m24,m3,m4,m5,m6,m7,m8,m9,compl_time,log_time
27.95,28.52,13.64,14.54,16.83,13.39,6.4,10.53,12.34,11.87,12.54,27.15,11.48,11.6,16.8,11.55,7.17,28.2,21.29,28.45,27.89,27.49,28.14,28.71,0.04,2019-10-28 17:04:19
30.65,31.29,16.21,16.86,19.44,15.73,7.68,12.8,14.88,14.18,15.15,29.83,13.93,14.28,19.54,13.95,8.59,30.93,23.94,31.14,30.58,30.17,30.88,31.5,0.07,2019-10-28 17:04:22
33.32,34.17,18.76,19.13,22.0,18.02,8.96,15.02,17.45,16.49,17.8,32.5,16.39,17.1,22.38,16.32,9.95,33.72,26.55,33.82,33.25,32.83,33.73,34.41,0.11,2019-10-28 17:04:25
37.23,38.17,22.54,22.66,25.83,21.58,10.78,18.47,21.19,20.06,21.65,36.4,20.1,21.02,26.36,19.96,11.85,37.67,30.42,37.74,37.16,36.73,37.69,38.43,0.14,2019-10-28 17:04:29
39.85,40.88,25.04,24.9,28.35,23.84,12.03,20.66,23.66,22.32,24.19,39.02,22.5,23.65,29.04,22.31,13.19,40.32,32.98,40.36,39.77,39.33,40.36,41.15,0.18,2019-10-28 17:04:32
42.58,43.8,27.63,27.23,30.97,26.19,13.32,22.94,26.27,24.66,26.88,41.73,25.0,26.5,31.91,24.7,14.61,43.17,35.65,43.09,42.49,42.03,43.24,44.1,0.21,2019-10-28 17:04:35
46.43,47.75,31.37,30.73,34.72,29.68,15.12,26.34,29.98,28.17,30.68,45.6,28.66,30.37,35.84,28.3,16.45,47.06,39.44,46.96,46.35,45.87,47.16,48.06,0.25,2019-10-28 17:04:39
49.11,50.52,33.94,33.05,37.32,32.01,16.4,28.6,32.51,30.51,33.29,48.29,31.13,33.06,38.59,30.71,17.87,49.78,42.07,49.65,49.04,48.54,49.89,50.84,0.29,2019-10-28 17:04:42
51.75,53.38,36.46,35.3,39.86,34.28,17.65,30.81,35.04,32.8,35.92,50.94,33.57,35.86,41.41,33.07,19.23,52.57,44.66,52.31,51.69,51.17,52.72,53.73,0.32,2019-10-28 17:04:45
55.66,57.39,40.24,38.83,43.67,37.82,19.46,34.27,38.79,36.38,39.76,54.84,37.29,39.78,45.39,36.72,21.12,56.53,48.52,56.23,55.6,55.05,56.69,57.75,0.36,2019-10-28 17:04:49
85.8,88.8,69.0,65.4,72.6,64.2,33.77,60.0,67.8,63.0,69.6,85.19999999999999,65.4,64.80000000000001,76.2,64.2,36.35,87.6,78.0,86.39999999999999,85.8,85.19999999999999,87.6,89.4,0.71,2019-10-28 17:05:21
115.8,120.6,98.39999999999999,92.4,102.0,91.2,48.11,86.39999999999999,97.2,90.0,99.0,115.19999999999999,93.60000000000001,88.2,107.4,91.8,51.6,118.8,107.4,117.0,116.39999999999999,115.19999999999999,118.8,121.2,1.07,2019-10-28 17:05:54
147.0,153.0,128.4,120.0,132.0,118.8,63.0,114.0,127.2,117.6,129.60000000000002,147.0,122.99999999999999,109.2,139.8,120.0,67.2,151.2,138.0,148.20000000000002,147.6,145.8,151.2,154.2,1.43,2019-10-28 17:06:28
177.0,184.8,157.79999999999998,146.4,161.4,145.2,77.4,139.8,156.6,144.60000000000002,159.60000000000002,177.0,151.2,130.2,170.39999999999998,147.6,82.8,181.79999999999998,168.0,178.8,177.6,175.8,182.4,186.0,1.79,2019-10-28 17:07:00
207.6,216.6,186.6,173.4,190.2,171.6,91.8,165.6,185.39999999999998,171.6,189.0,207.6,179.4,153.0,201.6,175.2,97.8,213.0,197.4,209.4,208.20000000000002,205.8,213.6,218.4,2.14,2019-10-28 17:08:30
238.8,249.00000000000003,216.6,201.0,220.2,199.8,106.2,193.20000000000002,216.0,199.2,220.2,238.8,208.8,173.4,234.0,204.0,113.39999999999999,245.39999999999998,228.0,240.6,239.4,237.0,245.99999999999997,250.79999999999998,2.5,2019-10-28 17:09:03
268.8,280.79999999999995,245.99999999999997,227.4,249.60000000000002,226.2,120.6,219.0,244.8,225.6,249.60000000000002,268.8,237.0,204.0,265.2,231.0,128.4,276.0,257.4,270.59999999999997,270.0,267.0,276.6,282.6,2.86,2019-10-28 17:13:49
299.40000000000003,312.0,274.8,253.8,279.0,252.6,135.0,244.8,273.59999999999997,252.6,279.0,299.40000000000003,265.2,232.20000000000002,296.40000000000003,258.59999999999997,144.0,307.2,287.4,301.2,300.0,297.0,307.8,314.40000000000003,3.21,2019-10-28 17:14:22
330.59999999999997,345.0,304.8,282.0,309.0,280.79999999999995,150.0,271.8,304.20000000000005,280.79999999999995,310.2,330.59999999999997,294.6,254.4,328.2,286.8,159.60000000000002,339.6,318.0,332.4,331.2,328.2,340.2,347.4,3.57,2019-10-28 17:14:55
634.8,664.8,600.0,552.6,603.6,549.6,294.0,537.0,599.4,552.0,609.6,637.8000000000001,579.6,465.0,642.6,565.2,312.6,654.6,616.8,639.6,638.4000000000001,630.6,654.6,669.0,7.14,2019-10-28 17:20:27
940.2,984.6,894.0,822.6,897.6,819.0,438.0,802.1999999999999,894.6,823.2,910.2,944.4,865.2,677.4,957.0,843.0,464.40000000000003,969.6,915.6,946.8,945.0,933.6,970.2,991.1999999999999,10.71,2019-10-28 17:25:58
