max_m1,max_m10,max_m10_loc,max_m11,max_m11_loc,max_m12,max_m12_loc,max_m13,max_m13_loc,max_m14,max_m14_loc,max_m15,max_m15_loc,max_m16,max_m16_loc,max_m17,max_m17_loc,max_m18,max_m18_loc,max_m19,max_m19_loc,max_m1_loc,max_m2,max_m20,max_m20_loc,max_m21,max_m21_loc,max_m22,max_m22_loc,max_m23,max_m23_loc,max_m24,max_m24_loc,max_m2_loc,max_m3,max_m3_loc,max_m4,max_m4_loc,max_m5,max_m5_loc,max_m6,max_m6_loc,max_m7,max_m7_loc,max_m8,max_m8_loc,max_m9,max_m9_loc,min_m1,min_m10,min_m10_loc,min_m11,min_m11_loc,min_m12,min_m12_loc,min_m13,min_m13_loc,min_m14,min_m14_loc,min_m15,min_m15_loc,min_m16,min_m16_loc,min_m17,min_m17_loc,min_m18,min_m18_loc,min_m19,min_m19_loc,min_m1_loc,min_m2,min_m20,min_m20_loc,min_m21,min_m21_loc,min_m22,min_m22_loc,min_m23,min_m23_loc,min_m24,min_m24_loc,min_m2_loc,min_m3,min_m3_loc,min_m4,min_m4_loc,min_m5,min_m5_loc,min_m6,min_m6_loc,min_m7,min_m7_loc,min_m8,min_m8_loc,min_m9,min_m9_loc,compl_time,log_time
0.017,1.3e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[0.8, 7.8, 4.2]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.3e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.4e-06,"[3.8, 7.4, 2.6]",-1.4e-06,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[5.7, 1.8, 2.8]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.04,2019-10-28 17:04:19
0.066,1.3e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[0.8, 7.8, 4.2]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.3e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.4e-06,"[3.8, 7.4, 2.6]",-1.4e-06,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[5.7, 1.8, 2.8]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.07,2019-10-28 17:04:22
0.14,1.3e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.3e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.4e-06,"[3.8, 7.4, 2.6]",-1.4e-06,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[5.7, 1.8, 2.8]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.11,2019-10-28 17:04:25
0.23,1.3e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.3e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.4e-06,"[3.8, 7.4, 2.6]",-1.4e-06,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[5.7, 1.8, 2.8]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.14,2019-10-28 17:04:29
0.45,1.3e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.3e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.4e-06,"[3.8, 7.4, 2.6]",-0.037,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[3.7, 6.7, 2.2]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.18,2019-10-28 17:04:32
0.61,1.3e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.3e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.4e-06,"[3.8, 7.4, 2.6]",-0.039,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[3.9, 6.7, 2.2]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.21,2019-10-28 17:04:35
0.75,1.4e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.4e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.3e-06,"[3.8, 7.4, 2.6]",-0.042,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[3.9, 6.7, 2.2]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.25,2019-10-28 17:04:39
0.9,1.4e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.4e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.3e-06,"[3.8, 7.4, 2.6]",-0.043,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[3.8, 6.7, 2.3]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.29,2019-10-28 17:04:42
1.0,1.4e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.4e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.4e-06,"[4.3, 2.0, 6.0]",1.3e-06,"[3.8, 7.4, 2.6]",-0.043,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[3.8, 6.7, 2.3]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.32,2019-10-28 17:04:45
1.1,1.4e-06,"[3.3, 4.0, 4.1]",1.3e-06,"[1.4, 5.2, 1.2]",1.3e-06,"[5.4, 5.6, 7.2]",1.4e-06,"[10.8, 0.8, 8.0]",1.2e-06,"[2.8, 0.6, 3.2]",1.2e-06,"[3.8, 3.6, 3.4]",1.1e-06,"[6.6, 2.8, 1.8]",1.2e-06,"[2.6, 9.6, 3.4]",1.3e-06,"[6.2, 8.2, 1.8]",1.3e-06,"[5.4, 8.8, 0.4]","[3.8, 6.7, 2.2]",1.4e-06,1.2e-06,"[7.2, 2.8, 1.4]",1.1e-06,"[2.2, 6.0, 0.4]",1.4e-06,"[3.2, 25.0, 7.2]",1.3e-06,"[9.8, 1.4, 1.6]",1.1e-06,"[9.0, 4.4, 4.4]","[1.7, 7.6, 3.5]",1.4e-06,"[1.8, 9.7, 1.5]",1.3e-06,"[1.0, 5.8, 4.4]",1.4e-06,"[5.9, 8.8, 1.4]",1.4e-06,"[1.0, 0.9, 4.9]",1.4e-06,"[5.8, 3.7, 2.2]",1.5e-06,"[4.3, 2.0, 6.0]",1.3e-06,"[3.8, 7.4, 2.6]",-0.042,-1.4e-06,"[4.8, 11.3, 0.3]",-1.4e-06,"[3.8, 4.4, 1.2]",-1.3e-06,"[2.2, 7.0, 7.8]",-1.3e-06,"[8.4, 3.6, 2.0]",-1.2e-06,"[5.8, 13.4, 3.4]",-1.2e-06,"[4.2, 4.6, 1.8]",-1.1e-06,"[7.6, 1.8, 1.6]",-1.2e-06,"[6.8, 1.0, 2.8]",-1.2e-06,"[0.6, 10.8, 0.8]",-1.3e-06,"[7.0, 4.4, 2.2]","[3.8, 6.7, 2.3]",-1.5e-06,-1.2e-06,"[11.0, 1.6, 2.0]",-1.3e-06,"[1.6, 5.2, 1.2]",-1.3e-06,"[4.6, 6.4, 3.2]",-1.4e-06,"[13.6, 4.6, 1.0]",-1.2e-06,"[15.4, 8.0, 3.2]","[8.2, 1.8, 2.3]",-1.4e-06,"[6.1, 1.8, 0.5]",-1.3e-06,"[17.0, 8.2, 4.8]",-1.4e-06,"[5.3, 11.1, 7.4]",-1.4e-06,"[0.3, 11.3, 1.6]",-1.3e-06,"[4.4, 0.9, 7.2]",-1.5e-06,"[5.0, 7.8, 1.5]",-1.4e-06,"[2.6, 10.8, 7.1]",0.36,2019-10-28 17:04:49
