ctrl,m1,compl_time,log_time
0,0.01,0.04,2019-10-28 17:04:19
0,0.037,0.07,2019-10-28 17:04:22
0,0.078,0.11,2019-10-28 17:04:25
0,0.13,0.14,2019-10-28 17:04:29
0,0.189,0.18,2019-10-28 17:04:32
0,0.255,0.21,2019-10-28 17:04:35
0,0.324,0.25,2019-10-28 17:04:39
0,0.397,0.29,2019-10-28 17:04:42
0,0.472,0.32,2019-10-28 17:04:45
0,0.549,0.36,2019-10-28 17:04:49
0,1.275,0.71,2019-10-28 17:05:21
0,1.789,1.07,2019-10-28 17:05:54
0,2.151,1.43,2019-10-28 17:06:28
0,2.296,1.79,2019-10-28 17:07:00
0,2.405,2.14,2019-10-28 17:08:30
0,2.455,2.5,2019-10-28 17:09:03
0,2.479,2.86,2019-10-28 17:13:49
0,2.489,3.21,2019-10-28 17:14:22
0,2.495,3.57,2019-10-28 17:14:55
0,2.5,7.14,2019-10-28 17:20:27
0,2.5,10.71,2019-10-28 17:25:58
0,2.5,14.29,2019-10-28 17:31:31
0,2.5,17.86,2019-10-28 17:37:01
0,2.5,21.43,2019-10-28 17:42:32
0,2.5,25.0,2019-10-28 17:48:05
0,2.5,28.57,2019-10-28 17:53:35
0,10.071,31.92,2019-10-28 17:59:26
0,10.061,34.61,2019-10-28 18:05:05
0,9.881,37.5,2019-10-28 18:10:46
0,9.907,40.45,2019-10-28 18:16:24
0,10.003,43.24,2019-10-28 18:22:04
0,23.083,45.98,2019-10-28 18:27:43
0,22.566,48.39,2019-10-28 18:33:25
0,22.746,50.54,2019-10-28 18:39:05
0,22.543,52.86,2019-10-28 18:44:56
0,22.931,55.05,2019-10-28 18:50:37
0,22.223,57.25,2019-10-28 18:56:24
0,38.034,59.4,2019-10-28 19:02:07
0,40.627,61.34,2019-10-28 19:08:13
0,40.178,63.34,2019-10-28 19:15:00
0,44.041,65.24,2019-10-28 19:20:50
0,41.33,67.05,2019-10-28 19:26:39
0,44.059,68.87,2019-10-28 19:32:23
0,41.46,70.73,2019-10-28 19:38:11
0,37.508,72.7,2019-10-28 19:43:54
0,68.188,74.61,2019-10-28 19:51:18
0,68.756,76.22,2019-10-28 19:57:10
0,64.381,77.84,2019-10-28 20:03:00
0,76.327,79.48,2019-10-28 20:08:57
0,64.61,81.06,2019-10-28 20:14:49
0,71.466,82.65,2019-10-28 20:20:39
0,64.617,84.43,2019-10-28 20:26:35
0,54.271,86.01,2019-10-28 20:32:28
0,60.004,87.63,2019-10-28 20:38:23
0,85.836,89.17,2019-10-28 20:44:11
0,89.515,90.7,2019-10-28 20:50:21
0,84.257,92.22,2019-10-28 20:56:10
0,103.171,93.58,2019-10-28 21:02:05
0,84.368,94.95,2019-10-28 21:07:52
0,89.731,96.35,2019-10-28 21:13:40
0,79.669,97.75,2019-10-28 21:19:28
0,91.854,99.22,2019-10-28 21:25:19
0,88.636,100.58,2019-10-28 21:31:10
0,92.788,102.07,2019-10-28 21:36:56
0,111.77,103.45,2019-10-28 21:42:44
0,115.253,104.85,2019-10-28 21:48:35
0,123.206,106.14,2019-10-28 21:54:29
0,106.73,107.46,2019-10-28 22:00:20
0,122.105,108.73,2019-10-28 22:06:12
0,145.344,109.97,2019-10-28 22:12:03
0,127.867,111.33,2019-10-28 22:17:58
0,134.844,112.59,2019-10-28 22:23:51
0,102.249,113.86,2019-10-28 22:29:42
0,107.686,115.1,2019-10-28 22:35:32
0,128.474,116.37,2019-10-28 22:41:25
0,174.073,117.69,2019-10-28 22:47:16
0,166.568,118.89,2019-10-28 22:53:13
0,191.837,120.1,2019-10-28 22:59:17
0,164.069,121.31,2019-10-28 23:05:11
0,136.917,122.48,2019-10-28 23:11:04
0,165.469,123.72,2019-10-28 23:16:58
0,144.336,124.94,2019-10-28 23:22:58
0,153.532,126.1,2019-10-28 23:28:50
0,123.728,127.29,2019-10-28 23:34:43
0,167.05,128.51,2019-10-28 23:40:40
