ctrl,compl_time,log_time
0,0.04,2019-10-28 17:04:19
0,0.07,2019-10-28 17:04:22
0,0.11,2019-10-28 17:04:25
0,0.14,2019-10-28 17:04:29
0,0.18,2019-10-28 17:04:32
0,0.21,2019-10-28 17:04:35
0,0.25,2019-10-28 17:04:39
0,0.29,2019-10-28 17:04:42
0,0.32,2019-10-28 17:04:45
0,0.36,2019-10-28 17:04:49
0,0.71,2019-10-28 17:05:21
0,1.07,2019-10-28 17:05:54
0,1.43,2019-10-28 17:06:28
0,1.79,2019-10-28 17:07:00
0,2.14,2019-10-28 17:08:30
0,2.5,2019-10-28 17:09:03
0,2.86,2019-10-28 17:13:49
0,3.21,2019-10-28 17:14:22
0,3.57,2019-10-28 17:14:55
0,7.14,2019-10-28 17:20:27
0,10.71,2019-10-28 17:25:58
0,14.29,2019-10-28 17:31:31
0,17.86,2019-10-28 17:37:01
0,21.43,2019-10-28 17:42:32
0,25.0,2019-10-28 17:48:05
0,28.57,2019-10-28 17:53:35
0,31.92,2019-10-28 17:59:26
0,34.61,2019-10-28 18:05:05
0,37.5,2019-10-28 18:10:46
0,40.45,2019-10-28 18:16:24
0,43.24,2019-10-28 18:22:04
0,45.98,2019-10-28 18:27:43
0,48.39,2019-10-28 18:33:25
0,50.54,2019-10-28 18:39:05
0,52.86,2019-10-28 18:44:56
0,55.05,2019-10-28 18:50:37
0,57.25,2019-10-28 18:56:24
0,59.4,2019-10-28 19:02:07
0,61.34,2019-10-28 19:08:13
0,63.34,2019-10-28 19:15:00
0,65.24,2019-10-28 19:20:50
0,67.05,2019-10-28 19:26:39
0,68.87,2019-10-28 19:32:23
0,70.73,2019-10-28 19:38:11
0,72.7,2019-10-28 19:43:54
0,74.61,2019-10-28 19:51:18
0,76.22,2019-10-28 19:57:10
0,77.84,2019-10-28 20:03:00
0,79.48,2019-10-28 20:08:57
0,81.06,2019-10-28 20:14:49
0,82.65,2019-10-28 20:20:39
0,84.43,2019-10-28 20:26:35
0,86.01,2019-10-28 20:32:28
0,87.63,2019-10-28 20:38:23
0,89.17,2019-10-28 20:44:11
0,90.7,2019-10-28 20:50:21
0,92.22,2019-10-28 20:56:10
0,93.58,2019-10-28 21:02:05
0,94.95,2019-10-28 21:07:52
0,96.35,2019-10-28 21:13:40
0,97.75,2019-10-28 21:19:28
0,99.22,2019-10-28 21:25:19
0,100.58,2019-10-28 21:31:10
0,102.07,2019-10-28 21:36:56
0,103.45,2019-10-28 21:42:44
0,104.85,2019-10-28 21:48:35
0,106.14,2019-10-28 21:54:29
0,107.46,2019-10-28 22:00:20
0,108.73,2019-10-28 22:06:12
0,109.97,2019-10-28 22:12:03
0,111.33,2019-10-28 22:17:58
0,112.59,2019-10-28 22:23:51
0,113.86,2019-10-28 22:29:42
0,115.1,2019-10-28 22:35:32
0,116.37,2019-10-28 22:41:25
0,117.69,2019-10-28 22:47:16
0,118.89,2019-10-28 22:53:13
0,120.1,2019-10-28 22:59:17
0,121.31,2019-10-28 23:05:11
0,122.48,2019-10-28 23:11:04
0,123.72,2019-10-28 23:16:58
0,124.94,2019-10-28 23:22:58
0,126.1,2019-10-28 23:28:50
0,127.29,2019-10-28 23:34:43
0,128.51,2019-10-28 23:40:40
0,129.63,2019-10-28 23:46:31
0,130.81,2019-10-28 23:52:23
0,132.02,2019-10-28 23:58:21
0,133.25,2019-10-29 00:04:12
0,134.4,2019-10-29 00:10:02
0,135.48,2019-10-29 00:15:57
0,136.71,2019-10-29 00:21:50
0,137.83,2019-10-29 00:27:40
0,138.86,2019-10-29 00:33:32
0,140.01,2019-10-29 00:39:26
0,141.16,2019-10-29 00:45:22
0,142.29,2019-10-29 00:51:16
0,143.4,2019-10-29 00:57:10
0,144.53,2019-10-29 01:03:03
0,145.76,2019-10-29 01:08:55
0,146.88,2019-10-29 01:14:51
0,147.94,2019-10-29 01:20:49
0,148.96,2019-10-29 01:26:44
0,150.08,2019-10-29 01:32:58
0,151.24,2019-10-29 01:38:50
0,152.27,2019-10-29 01:44:47
0,153.31,2019-10-29 01:50:42
0,154.39,2019-10-29 01:56:38
0,155.5,2019-10-29 02:02:33
0,156.56,2019-10-29 02:08:29
0,157.66,2019-10-29 02:14:24
0,158.69,2019-10-29 02:20:21
0,159.8,2019-10-29 02:26:13
0,160.91,2019-10-29 02:32:09
0,161.95,2019-10-29 02:38:06
0,163.0,2019-10-29 02:44:04
0,164.04,2019-10-29 02:49:59
0,165.1,2019-10-29 02:55:56
0,166.11,2019-10-29 03:01:54
0,167.15,2019-10-29 03:07:50
0,168.12,2019-10-29 03:13:52
0,169.17,2019-10-29 03:19:48
0,170.18,2019-10-29 03:25:45
0,171.27,2019-10-29 03:31:42
0,172.32,2019-10-29 03:37:42
0,173.38,2019-10-29 03:43:40
0,174.47,2019-10-29 03:49:37
0,175.52,2019-10-29 03:55:34
