m1,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m2,m20,m21,m3,m4,m5,m6,m7,m8,m9,compl_time,log_time
-0.003,,,,,,,,,,,,,,,,,,,,,0.04,2019-10-28 17:04:19
-0.013,,,,,,,,,,,,,,,,,,,,,0.07,2019-10-28 17:04:22
-0.027,,,,,,,,,,,,,,,,,,,,,0.11,2019-10-28 17:04:25
-0.044,,,,,,,,,,,,,,,,,,,,,0.14,2019-10-28 17:04:29
-0.065,,,,,,,,,,,,,,,,,,,,,0.18,2019-10-28 17:04:32
-0.088,,,,,,,,,,,,,,,,,,,,,0.21,2019-10-28 17:04:35
-0.109,,,,,,,,,,,,,,,,,,,,,0.25,2019-10-28 17:04:39
-0.135,,,,,,,,,,,,,,,,,,,,,0.29,2019-10-28 17:04:42
-0.161,,,,,,,,,,,,,,,,,,,,,0.32,2019-10-28 17:04:45
-0.183,,,,,,,,,,,,,,,,,,,,,0.36,2019-10-28 17:04:49
-0.414,,,,,,,,,,,,,,,,,,,,,0.71,2019-10-28 17:05:21
-0.565,,,,,,,,,,,0.002,,,,0.002,,,,,,1.07,2019-10-28 17:05:54
-0.664,,,,,,,,,,,0.006,,,,0.007,,,,,,1.43,2019-10-28 17:06:28
-0.704,,,,,,,,,,,0.008,,,,0.008,,,,,,1.79,2019-10-28 17:07:00
-0.734,,,,,,,,,,,0.009,,,0.001,0.011,,,,,,2.14,2019-10-28 17:08:30
-0.747,,,,0.001,,,,,,,0.011,,,0.002,0.012,,,,,,2.5,2019-10-28 17:09:03
-0.754,,,,0.002,,,,,,,0.011,,,0.002,0.012,,,,,,2.86,2019-10-28 17:13:49
-0.757,,,,0.002,,,,,,,0.012,,,0.002,0.013,,,,,,3.21,2019-10-28 17:14:22
-0.76,,,,0.002,,,,,,,0.012,,,0.002,0.013,,,,,,3.57,2019-10-28 17:14:55
-0.767,,,,0.002,,,,,,,0.012,,,0.002,0.013,,,,,,7.14,2019-10-28 17:20:27
-0.772,,,,0.002,,,,,,,0.012,,,0.002,0.013,,,,,,10.71,2019-10-28 17:25:58
-0.777,,,,0.002,,,,,,,0.012,,,0.002,0.013,,,,,,14.29,2019-10-28 17:31:31
-0.782,,,,0.002,,,,,,,0.012,,,0.002,0.013,,,,,,17.86,2019-10-28 17:37:01
-0.786,,,,0.002,,,,,,,0.012,,,0.002,0.013,,,,,,21.43,2019-10-28 17:42:32
-0.79,,,,0.002,,,,,,,0.011,,,0.002,0.014,,,,,,25.0,2019-10-28 17:48:05
-0.792,,,,0.002,,,,,,,0.01,,,0.002,0.014,,,,,,28.57,2019-10-28 17:53:35
-3.107,0.002,,,0.007,,,,,,,0.045,,,0.007,0.054,0.003,0.001,,,,31.92,2019-10-28 17:59:26
-3.12,0.002,,,0.007,,,,,,,0.046,,,0.008,0.054,0.004,0.002,,,0.001,34.61,2019-10-28 18:05:05
-3.087,0.002,,,0.007,,,,,,,0.045,,,0.008,0.054,0.004,0.002,,,0.001,37.5,2019-10-28 18:10:46
-3.112,0.002,,,0.008,,,,,,,0.042,,,0.008,0.054,0.003,0.002,,,0.001,40.45,2019-10-28 18:16:24
-3.15,0.002,,,0.008,,,,,,,0.04,,,0.008,0.055,0.003,0.002,,,0.001,43.24,2019-10-28 18:22:04
-7.181,0.005,,,0.016,0.001,,,,,,0.101,,,0.014,0.124,0.007,0.003,,,0.002,45.98,2019-10-28 18:27:43
