compl_time,cycles,log_time,m_error,m_error_loc,m_error_mesh,press_itr,time_step
0.04,1,2019-10-28 17:04:19,0.0053,"[4.0, -11.8, 3.6]",18,1,0.0357
0.07,2,2019-10-28 17:04:22,0.0023,"[4.6, -12.6, 3.4]",19,1,0.0357
0.11,3,2019-10-28 17:04:25,0.0036,"[6.2, -14.2, 1.4]",18,1,0.0357
0.14,4,2019-10-28 17:04:29,0.0033,"[4.0, -11.8, 3.4]",19,1,0.0357
0.18,5,2019-10-28 17:04:32,0.0024,"[4.6, -12.6, 3.4]",19,1,0.0357
0.21,6,2019-10-28 17:04:35,0.0018,"[4.6, -12.6, 3.6]",18,1,0.0357
0.25,7,2019-10-28 17:04:39,0.0013,"[6.2, -14.2, 5.2]",19,1,0.0357
0.29,8,2019-10-28 17:04:42,0.001,"[6.2, -14.2, 5.2]",19,1,0.0357
0.32,9,2019-10-28 17:04:45,0.00077,"[4.4, -12.2, 3.6]",18,1,0.0357
0.36,10,2019-10-28 17:04:49,0.00066,"[4.6, -12.6, 3.6]",18,1,0.0357
0.71,20,2019-10-28 17:05:21,0.0034,"[35.8, -9.5, 3.1]",1,1,0.0357
1.07,30,2019-10-28 17:05:54,0.00041,"[35.8, -9.4, 3.0]",1,1,0.0357
1.43,40,2019-10-28 17:06:28,0.003,"[35.8, -9.5, 3.1]",1,1,0.0357
1.79,50,2019-10-28 17:07:00,0.00062,"[35.8, -9.5, 3.1]",1,1,0.0357
2.14,60,2019-10-28 17:08:30,0.00071,"[35.8, -9.5, 3.1]",1,1,0.0357
2.5,70,2019-10-28 17:09:03,0.00019,"[52.8, -25.8, 3.2]",15,1,0.0357
2.86,80,2019-10-28 17:13:49,8.2e-05,"[6.4, -15.6, 7.2]",21,1,0.0357
3.21,90,2019-10-28 17:14:22,0.00016,"[35.8, -9.5, 3.1]",1,1,0.0357
3.57,100,2019-10-28 17:14:55,0.00015,"[35.8, -9.5, 6.3]",1,1,0.0357
7.14,200,2019-10-28 17:20:27,0.021,"[35.9, -9.6, 6.3]",1,1,0.0357
10.71,300,2019-10-28 17:25:58,0.011,"[35.9, -9.5, 6.3]",1,1,0.0357
14.29,400,2019-10-28 17:31:31,0.011,"[35.9, -9.5, 6.3]",1,1,0.0357
17.86,500,2019-10-28 17:37:01,0.0076,"[35.9, -9.7, 6.3]",1,1,0.0357
21.43,600,2019-10-28 17:42:32,0.011,"[35.9, -9.4, 6.3]",1,1,0.0357
25.0,700,2019-10-28 17:48:05,0.0058,"[35.7, -9.6, 6.3]",1,1,0.0357
28.57,800,2019-10-28 17:53:35,0.011,"[35.8, -9.6, 6.3]",1,1,0.0357
31.92,900,2019-10-28 17:59:26,0.022,"[35.7, -9.4, 6.3]",1,1,0.0311
34.61,1000,2019-10-28 18:05:05,0.03,"[35.7, -9.6, 6.3]",1,1,0.0307
37.5,1100,2019-10-28 18:10:46,0.015,"[35.7, -9.7, 6.3]",1,1,0.0248
40.45,1200,2019-10-28 18:16:24,0.04,"[35.9, -9.6, 6.3]",1,1,0.0278
43.24,1300,2019-10-28 18:22:04,0.014,"[36.0, -9.4, 6.3]",1,1,0.0315
45.98,1400,2019-10-28 18:27:43,0.03,"[35.9, -9.6, 6.3]",1,1,0.0254
48.39,1500,2019-10-28 18:33:25,0.031,"[35.7, -9.4, 6.3]",1,1,0.0213
50.54,1600,2019-10-28 18:39:05,0.012,"[35.7, -9.6, 6.3]",1,2,0.0234
52.86,1700,2019-10-28 18:44:56,0.027,"[35.7, -9.3, 6.3]",1,1,0.0202
55.05,1800,2019-10-28 18:50:37,0.031,"[36.0, -9.5, 6.3]",1,1,0.024
57.25,1900,2019-10-28 18:56:24,0.029,"[35.8, -9.5, 6.3]",1,1,0.0202
59.4,2000,2019-10-28 19:02:07,0.032,"[35.8, -9.5, 3.1]",1,2,0.0215
61.34,2100,2019-10-28 19:08:13,0.023,"[35.7, -9.7, 6.3]",1,1,0.0199
63.34,2200,2019-10-28 19:15:00,0.036,"[35.9, -9.5, 3.1]",1,1,0.0204
65.24,2300,2019-10-28 19:20:50,0.032,"[36.3, -9.5, 6.5]",1,1,0.0187
67.05,2400,2019-10-28 19:26:39,0.041,"[35.8, -9.5, 3.1]",1,1,0.02
68.87,2500,2019-10-28 19:32:23,0.033,"[35.8, -9.2, 6.3]",1,1,0.0185
70.73,2600,2019-10-28 19:38:11,0.027,"[35.7, -9.7, 6.3]",1,1,0.019
72.7,2700,2019-10-28 19:43:54,0.016,"[35.9, -9.6, 3.1]",1,2,0.0202
